0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 
0 1 2 3 5 4 6 7 8 9 10 11 12 13 14 15 16 17 
0 1 2 3 4 5 6 8 7 9 10 11 12 13 14 15 16 17 
0 1 2 3 5 4 6 8 7 9 10 11 12 13 14 15 16 17 
0 1 2 3 4 5 6 7 8 9 10 11 12 14 13 15 16 17 
0 1 2 3 5 4 6 7 8 9 10 11 12 14 13 15 16 17 
0 1 2 3 4 5 6 8 7 9 10 11 12 14 13 15 16 17 
0 1 2 3 5 4 6 8 7 9 10 11 12 14 13 15 16 17 
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 16 
0 1 2 3 5 4 6 7 8 9 10 11 12 13 14 15 17 16 
0 1 2 3 4 5 6 8 7 9 10 11 12 13 14 15 17 16 
0 1 2 3 5 4 6 8 7 9 10 11 12 13 14 15 17 16 
0 1 2 3 4 5 6 7 8 9 10 11 12 14 13 15 17 16 
0 1 2 3 5 4 6 7 8 9 10 11 12 14 13 15 17 16 
0 1 2 3 4 5 6 8 7 9 10 11 12 14 13 15 17 16 
0 1 2 3 5 4 6 8 7 9 10 11 12 14 13 15 17 16 
0 1 2 6 7 8 3 4 5 9 10 11 12 13 14 15 16 17 
0 1 2 6 7 8 3 5 4 9 10 11 12 13 14 15 16 17 
0 1 2 6 8 7 3 4 5 9 10 11 12 13 14 15 16 17 
0 1 2 6 8 7 3 5 4 9 10 11 12 13 14 15 16 17 
0 1 2 6 7 8 3 4 5 9 10 11 12 14 13 15 16 17 
0 1 2 6 7 8 3 5 4 9 10 11 12 14 13 15 16 17 
0 1 2 6 8 7 3 4 5 9 10 11 12 14 13 15 16 17 
0 1 2 6 8 7 3 5 4 9 10 11 12 14 13 15 16 17 
0 1 2 6 7 8 3 4 5 9 10 11 12 13 14 15 17 16 
0 1 2 6 7 8 3 5 4 9 10 11 12 13 14 15 17 16 
0 1 2 6 8 7 3 4 5 9 10 11 12 13 14 15 17 16 
0 1 2 6 8 7 3 5 4 9 10 11 12 13 14 15 17 16 
0 1 2 6 7 8 3 4 5 9 10 11 12 14 13 15 17 16 
0 1 2 6 7 8 3 5 4 9 10 11 12 14 13 15 17 16 
0 1 2 6 8 7 3 4 5 9 10 11 12 14 13 15 17 16 
0 1 2 6 8 7 3 5 4 9 10 11 12 14 13 15 17 16 
0 1 2 3 4 5 6 7 8 9 10 11 15 16 17 12 13 14 
0 1 2 3 5 4 6 7 8 9 10 11 15 16 17 12 13 14 
0 1 2 3 4 5 6 8 7 9 10 11 15 16 17 12 13 14 
0 1 2 3 5 4 6 8 7 9 10 11 15 16 17 12 13 14 
0 1 2 3 4 5 6 7 8 9 10 11 15 16 17 12 14 13 
0 1 2 3 5 4 6 7 8 9 10 11 15 16 17 12 14 13 
0 1 2 3 4 5 6 8 7 9 10 11 15 16 17 12 14 13 
0 1 2 3 5 4 6 8 7 9 10 11 15 16 17 12 14 13 
0 1 2 3 4 5 6 7 8 9 10 11 15 17 16 12 13 14 
0 1 2 3 5 4 6 7 8 9 10 11 15 17 16 12 13 14 
0 1 2 3 4 5 6 8 7 9 10 11 15 17 16 12 13 14 
0 1 2 3 5 4 6 8 7 9 10 11 15 17 16 12 13 14 
0 1 2 3 4 5 6 7 8 9 10 11 15 17 16 12 14 13 
0 1 2 3 5 4 6 7 8 9 10 11 15 17 16 12 14 13 
0 1 2 3 4 5 6 8 7 9 10 11 15 17 16 12 14 13 
0 1 2 3 5 4 6 8 7 9 10 11 15 17 16 12 14 13 
0 1 2 6 7 8 3 4 5 9 10 11 15 16 17 12 13 14 
0 1 2 6 7 8 3 5 4 9 10 11 15 16 17 12 13 14 
0 1 2 6 8 7 3 4 5 9 10 11 15 16 17 12 13 14 
0 1 2 6 8 7 3 5 4 9 10 11 15 16 17 12 13 14 
0 1 2 6 7 8 3 4 5 9 10 11 15 16 17 12 14 13 
0 1 2 6 7 8 3 5 4 9 10 11 15 16 17 12 14 13 
0 1 2 6 8 7 3 4 5 9 10 11 15 16 17 12 14 13 
0 1 2 6 8 7 3 5 4 9 10 11 15 16 17 12 14 13 
0 1 2 6 7 8 3 4 5 9 10 11 15 17 16 12 13 14 
0 1 2 6 7 8 3 5 4 9 10 11 15 17 16 12 13 14 
0 1 2 6 8 7 3 4 5 9 10 11 15 17 16 12 13 14 
0 1 2 6 8 7 3 5 4 9 10 11 15 17 16 12 13 14 
0 1 2 6 7 8 3 4 5 9 10 11 15 17 16 12 14 13 
0 1 2 6 7 8 3 5 4 9 10 11 15 17 16 12 14 13 
0 1 2 6 8 7 3 4 5 9 10 11 15 17 16 12 14 13 
0 1 2 6 8 7 3 5 4 9 10 11 15 17 16 12 14 13 
